約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2024/4/26","2024/4/30","GS米ドルファンド","累積投資","特定","再投資","","469","0.01","0.00","156.76","4.69","726","米ドル"
"2024/5/30","2024/5/31","GS米ドルファンド","累積投資","特定","再投資","","447","0.01","0.00","158.62","4.47","701","米ドル"
"2024/6/27","2024/6/28","GS米ドルファンド","累積投資","特定","再投資","","401","0.01","0.00","161.78","4.01","641","米ドル"
"2024/7/30","2024/7/31","GS米ドルファンド","累積投資","特定","再投資","","469","0.01","0.00","155.08","4.69","718","米ドル"
"2024/8/29","2024/8/30","GS米ドルファンド","累積投資","特定","再投資","","424","0.01","0.00","145.53","4.24","609","米ドル"
"2024/9/9","2024/9/10","GS米ドルファンド","累積投資","特定","解約","","44,810","0.01","0.00","141.78","448.62","64,059","米ドル"
"2024/9/27","2024/9/30","GS米ドルファンド","累積投資","特定","再投資","","289","0.01","0.00","146.53","2.89","418","米ドル"
"2024/10/30","2024/10/31","GS米ドルファンド","累積投資","特定","再投資","","275","0.01","0.00","154.31","2.75","419","米ドル"
"2024/11/27","2024/11/29","GS米ドルファンド","累積投資","特定","再投資","","248","0.01","0.00","153.88","2.48","377","米ドル"
"2024/12/27","2024/12/30","GS米ドルファンド","累積投資","特定","再投資","","256","0.01","0.00","159.18","2.56","403","米ドル"
"2025/1/30","2025/1/31","GS米ドルファンド","累積投資","特定","再投資","","257","0.01","0.00","155.76","2.57","396","米ドル"
"2025/2/12","2025/2/13","GS米ドルファンド","累積投資","特定","解約","","9,414","0.01","0.00","152.26","94.26","14,454","米ドル"
"2025/2/27","2025/2/28","GS米ドルファンド","累積投資","特定","再投資","","200","0.01","0.00","150.24","2.00","297","米ドル"
"2025/3/28","2025/3/31","GS米ドルファンド","累積投資","特定","再投資","","220","0.01","0.00","152.11","2.20","331","米ドル"
"2025/4/28","2025/4/30","GS米ドルファンド","累積投資","特定","再投資","","215","0.01","0.00","144.66","2.15","307","米ドル"
"2025/5/29","2025/5/30","GS米ドルファンド","累積投資","特定","再投資","","214","0.01","0.00","147.05","2.14","311","米ドル"
"2025/6/27","2025/6/30","GS米ドルファンド","累積投資","特定","再投資","","222","0.01","0.00","145.58","2.22","319","米ドル"
"2025/7/30","2025/7/31","GS米ドルファンド","累積投資","特定","再投資","","222","0.01","0.00","149.25","2.22","327","米ドル"
